url,course_name,rating
https://www.coursera.org/learn/serverless-computing-using-aws-lambda, AWS Lambda إنشاء صورة مصغرة بإستخدام السيرفرليس و,No rating
https://www.coursera.org/learn/advanced-strategies-for-sustainable-business, Advanced Strategies for Sustainable Business,No rating
https://www.coursera.org/learn/applying-machine-learning-to-your-data-with-gc-fr, Applying Machine Learning to Your Data with GC - Français,No rating
https://www.coursera.org/projects/automate-blog-advertisements-zapier, Automate Blog Advertisements with Zapier ,No rating
https://www.coursera.org/learn/mooc-atencion-inclusiva-al-publico-con-discapacidad, Atención inclusiva al público con discapacidad,No rating
https://www.coursera.org/projects/bases-datos-nosql-azure, Bases de Datos NoSQL en Azure,No rating
https://www.coursera.org/learn/advanced-cybersecurity-techniques, Advanced Cybersecurity Techniques,No rating
https://www.coursera.org/learn/azure-identity-and-networking-essentials, Azure Identity and Networking Essentials,4.5
https://www.coursera.org/projects/crea-contenido-e-learning-canva-estudiantes, Crea contenido de e-learning con Canva para tus estudiantes,No rating
https://www.coursera.org/projects/creation-identite-visuelle-impressionnant-utilisant-canva, Création D'Identité Visuelle En Utilisant Canva,
https://www.coursera.org/projects/creer-des-publicites-sur-instagram, Créer des Publicités sur Instagram,
https://www.coursera.org/projects/creer-contenu-e-learning-etudiants-canva, Créer du contenu e-learning pour vos étudiants avec Canva,
https://www.coursera.org/projects/descubre-diferentes-formatos-anuncios-facebook, Descubre diferentes formatos de anuncios en Facebook,
https://www.coursera.org/learn/delega-tareas-sin-sentir-que-pierdes-el-control, Delega tareas sin sentir que pierdes el control,
https://www.coursera.org/learn/packt-cucumber-bdd-made-easy-automation-framework-design-bexit, Cucumber BDD Made Easy + Automation Framework Design,
https://www.coursera.org/learn/metasploit-lilmubtadiiyna-asasiaat-aliastighlal,   للمبتدئين Metasploit: أساسيات الاستغلال ,
https://www.coursera.org/learn/urban-health-mooc-1, HEALTHY URBAN SYSTEMS - PART 1,
https://www.coursera.org/projects/introduccin-facebook-audience-insights, Introducción a Facebook Audience Insights,
https://www.coursera.org/learn/leading-circular-sustainable-business, Leading the Circular and Sustainable Business,
https://www.coursera.org/learn/industrial-applications-of-ai, Industrial Applications of AI,
https://www.coursera.org/learn/libraries-and-frameworks-for-frontend-development, Libraries and Frameworks for Frontend Development,
https://www.coursera.org/projects/data-calculations--microsoft-excel, Microsoft Excel  حسابات البيانات في ,
https://www.coursera.org/projects/plane-und-erstelle-einen-aufgabenkalender-in-trello, Plane und erstelle einen Aufgabenkalender in Trello,
https://www.coursera.org/projects/optimiza-las-comunicaciones-organizacionales-con-slack, Optimiza las comunicaciones organizacionales con Slack,
https://www.coursera.org/projects/programmez-contenu-reseaux-sociaux-later, Programmez du contenu pour vos réseaux sociaux avec Later,
https://www.coursera.org/projects/rstudio-six-sigma-control-charts, RStudio for Six Sigma - Control Charts,
https://www.coursera.org/projects/rstudio-six-sigma-process-capability, RStudio for Six Sigma - Process Capability,
https://www.coursera.org/learn/predictive-modeling-with-python, Predictive Modeling with Python ,
https://www.coursera.org/learn/python-data-ar, Python بُنى بيانات,
https://www.coursera.org/learn/succession-planning, Succession Planning,
https://www.coursera.org/learn/solving-business-problems-with-spreadsheet-modeling, Solving Business Problems with Spreadsheet Modeling,
https://www.coursera.org/learn/responsible-ai-applying-ai-principles-with-google-cloud-zhcn, Responsible AI: Applying AI Principles with GC - 简体中文,
https://www.coursera.org/learn/react-native-course-ar, React Native (العربية),
https://www.coursera.org/learn/teradata-sql-and-data-management, Teradata SQL and Data Management,
https://www.coursera.org/learn/tobacco-control-agile-policy-research-practice," Tobacco Control: Agile Policy, Research and Practice ",
https://www.coursera.org/learn/using-design-to-generate-innovative-business-solutions, Using Design to Generate Innovative Business Solutions,
https://www.coursera.org/learn/welding-processes-in-heavy-manufacturing--quality-controls, Welding Processes in Heavy Manufacturing & Quality Controls,
https://www.coursera.org/projects/create-swag-bag-inserts-to-market-your-business-using-canva-ar, إنشاء حقيبة الهدايا لتسويق أعمالك باستخدام كانفا,
https://www.coursera.org/learn/conduct-ux-research-and-test-early-concepts-arabic, إجراء بحث تجربة المستخدم واختبار المفاهيم المبكرة,
https://www.coursera.org/learn/inbound-sales-ar, المبيعات الواردة,
https://www.coursera.org/learn/working-with-data-in-android-ar, التعامل مع البيانات في Android,
https://www.coursera.org/learn/ios-app-capstone-ar, المشروع المتقدم لتطبيقات iOS,
https://www.coursera.org/learn/create-the-user-interface-android-studio-ar, إنشاء واجهة المستخدم في Android Studio,
https://www.coursera.org/learn/their-world-and-how-you-define-it,'Their' World and How You Define It,
https://www.coursera.org/learn/net-ruanjian-kaifa-biye,.Net平台下的软件开发技术毕业项目,
https://www.coursera.org/learn/onepointfive-lifestyles-mainstreaming-everyday-sustainability,1.5 Lifestyles: Mainstreaming Everyday Sustainability,
https://www.coursera.org/learn/packt-net-core-microservices-the-complete-guide-net-6-mvc-djsov,.NET Core Microservices - The Complete Guide (.NET 6 MVC),
https://www.coursera.org/learn/cost-of-capital, تكلفة رأس المال: تقييم السندات والأسهم | Cost of Capital,
https://www.coursera.org/projects/design-a-client-welcome-kit-using-canva-ar, تصميم مجموعة ترحيب العميل باستخدام كانفا,
https://www.coursera.org/learn/packt-120-quick-stata-tips-ypcuw,120 Quick Stata Tips,
https://www.coursera.org/learn/accounting-for-marketable-securities, محاسبة الأوراق المالية القابلة للتداول,
https://www.coursera.org/learn/unity-sprite-sheets, رسوم متحركه ثنائية الأبعاد في Unity باستخدام Sprite Sheets,
https://www.coursera.org/learn/responsive-web-design-in-adobe-xd-arabic, تصميم ويب سريع الاستجابة في Adobe XD,
https://www.coursera.org/learn/accounting-for-receivable--bad-debts, محاسبة المقبوضات والديون المعدومة,
